node,Proportional,Uniform
988,676.9219,728.7853
989,305.8816,333.7126
990,179.6260,203.2497
991,218.1183,246.3816
992,368.4037,461.6714
993,826.5098,848.1428
994,369.0280,440.6766
995,593.9242,704.6324
996,642.7035,723.1692
997,607.6384,693.4010
998,1337.7499,1489.3927
999,414.6396,457.3585
1000,665.4434,751.3688
1001,482.9289,559.2999
1002,1119.1333,1282.0155
1003,484.8081,559.5422
1004,605.2646,720.2269
1005,582.4934,676.7039
1006,1339.3398,1430.0627
1007,1212.4838,1366.3553
1008,644.8391,706.2256
1009,1321.4512,1323.7947
1010,1819.9355,1960.4016
1011,1372.8364,1398.9609
1012,989.3436,970.9514
1013,1874.2181,1761.1554
1014,594.6481,600.5397
1015,691.4884,615.5176
1016,878.4753,760.7711
1017,1416.5811,1487.3477
1018,836.4306,730.3406
1019,1429.2255,1171.0477
1020,205.1710,204.0014
1021,1817.2766,1733.0608
1022,771.4786,794.4326
1023,523.6228,480.9167
1024,1039.8801,759.5480
1025,1748.0996,1524.5908
1026,500.2878,514.6104
1027,929.8142,940.2813
1028,634.4366,510.2497
1029,252.6288,249.8322
1030,1025.5444,1177.5600
1031,971.8056,1062.1668
1032,788.7105,957.1287
1033,706.3224,857.5247
1034,497.2775,609.4540
1035,2619.6677,3168.7292
1036,510.2010,624.9601
1037,1439.9200,1785.3424
1038,2873.9765,3475.8365
1039,1641.4574,2018.4317
1040,860.3800,1018.2793
1041,924.4771,1091.2331
1042,1008.1382,1108.0729
1043,831.9989,974.5325
1044,536.4563,618.7941
1045,968.9929,1049.0972
1046,275.3605,310.3090
1047,316.7550,368.1504
1048,417.7201,486.2501
1049,490.9551,575.5364
1050,256.5444,294.2249
1051,536.2163,591.0276
1052,1137.0642,1285.0541
1053,578.1621,650.0954
1054,458.5813,529.9669
1055,767.6916,885.7460
1056,746.8598,870.3116
1057,304.8131,353.8563
1058,364.3965,427.5365
1059,889.4281,1029.3196
1060,498.1338,574.6200
1061,868.7560,945.5271
1062,1114.4707,1269.1839
1063,1014.4993,1122.2644
1064,624.8150,736.0120
1065,826.8993,886.2915
1066,404.2740,471.6240
1067,526.0365,603.8944
1068,1395.6631,1588.9224
1069,1170.6909,1356.7181
1070,970.6308,1077.9607
1071,1538.6527,1726.6106
1072,683.4069,766.0099
1073,1379.3425,1547.3133
1074,1022.0769,1179.4326
1075,3218.1730,3719.7904
1076,1655.0432,1961.0514
1077,1785.3472,2003.5715
1078,1281.2465,1445.1850
1079,1617.0629,1873.5451
1080,2000.1474,2314.2556
1081,3542.3805,4230.2361
1082,2427.9787,2921.2852
1083,2194.6306,2638.8121
1084,1866.3642,2154.3347
1085,2205.8439,2636.3555
1086,1231.0098,1487.8830
1087,684.0637,797.0235
1088,1252.4204,1474.9865
1089,2354.3524,2746.1982
1090,1154.7818,1358.2523
1091,587.4847,707.7546
1092,495.6096,604.0674
1093,3082.9826,3765.6038
1094,2531.5559,3025.8790
1095,596.6462,708.3415
1096,875.9261,1075.6465
1097,1285.5163,1562.9959
1098,398.9281,486.7334
1099,1376.5602,1653.0644
1100,877.9747,1076.4698
1101,891.8085,1090.6498
1102,1708.0186,1994.0487
1103,978.1547,1151.8781
1104,2247.9974,2729.5630
1105,833.4205,974.9377
1106,982.3743,1166.5248
1107,796.0385,987.7314
1108,1136.8504,1381.6617
1109,906.8113,1119.6336
1110,959.0185,1108.0101
1111,444.1349,516.9408
1112,956.3151,1122.2921
1113,329.4490,384.0927
1114,992.5650,1209.7022
1115,856.5161,1045.0079
1116,601.4079,736.4490
1117,1054.5764,1240.7785
1118,1100.6201,1323.9056
1119,1567.8384,1845.9233
1120,931.0266,1135.5277
1121,1619.6042,1876.5075
1122,934.8332,1078.5829
1123,745.3263,885.9790
1124,2487.1480,2939.0147
1125,1346.3887,1623.6314
1126,611.3652,709.0206
1127,948.7728,1136.4981
1128,1500.5021,1797.1541
1129,644.9749,738.8100
1130,1068.7417,1226.4383
1131,854.2236,1004.1677
1132,801.7066,930.4252
1133,474.0632,546.6563
1134,721.8428,855.3163
1135,499.2206,590.3858
1136,455.2350,517.2100
1137,663.7308,753.4981
1138,348.4628,398.9833
1139,436.9521,516.3193
1140,613.2344,709.0752
1141,679.8455,811.7127
1142,167.0211,192.0769
1143,404.4193,472.2670
1144,605.8760,679.4481
1145,599.2371,693.9711
1146,255.4682,295.5216
1147,2539.6875,3017.7737
1148,710.9053,797.2084
1149,1162.7224,1330.0046
1150,193.0188,221.6115
1151,1068.3978,1196.7925
1152,569.9193,678.2479
1153,322.9676,369.2698
1155,456.3815,516.8332
1156,692.5689,782.7327
1157,232.8826,265.9912
1158,1320.1903,1549.4271
1159,456.3135,517.2233
1160,246.7399,280.6917
1161,102.9942,118.2158
1162,207.3291,236.4214
1163,2031.7930,2401.5624
